,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,is_inc_v,issue_d,pymnt_plan,purpose,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,not_compliant,status,inactive_loans,bad_loans,emp_length_num,pub_rec_zero,short_emp,final_d,last_record_none,last_major_derog_none,home_ownership,annual_inc,addr_state,dti,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,open_acc,pub_rec,total_acc,deliquency
5,70694,5000,5000,350,36,11.54,164.98,C,C5,not verified,2007-07-01,n,other,F,0,0,1501.19,104.6,966.58,352.34,0.0,182.27,1.84,2008-03-01,164.97,2008-12-01,2009-01-01,,1,Charged Off,1.0,1.0,10,1.0,0,2010-07-01,1,1,MORTGAGE,55000.0,NC,10.0,1998-10-01,4.0,,6.0,0.0,13.0,0
13,76583,5000,5000,1775,36,9.01,159.03,B,B2,not verified,2007-07-01,n,other,F,0,0,5724.82,2032.29,5000.0,724.82,0.0,0.0,0.0,2010-07-01,160.61,,2010-07-01,,0,Fully Paid,1.0,0.0,2,1.0,0,2010-07-01,1,1,MORTGAGE,250000.0,NY,10.0,2003-04-01,0.0,5.0,5.0,0.0,7.0,1
26,84914,5000,5000,2025,36,7.43,155.38,A,A2,not verified,2007-09-01,n,other,F,0,0,5200.44,2106.17,5000.0,200.44,0.0,0.0,0.0,2008-04-01,4268.52,,2007-06-01,,0,Fully Paid,1.0,0.0,11,1.0,0,2010-09-01,1,1,MORTGAGE,65000.0,MA,0.28,1994-12-01,1.0,,12.0,0.0,21.0,0
31,86999,7500,7500,800,36,13.75,255.43,E,E2,not verified,2007-06-01,n,debt_consolidation,F,0,0,9194.98,980.65,7500.0,1694.98,0.0,0.0,0.0,2010-06-01,256.59,,2010-06-01,,0,Fully Paid,1.0,0.0,1,1.0,1,2010-06-01,0,1,OWN,22000.0,MA,14.29,2003-10-01,0.0,11.0,7.0,0.0,8.0,1
32,88023,4400,4400,1400,36,9.64,141.25,B,B4,not verified,2007-06-01,n,debt_consolidation,F,0,0,5084.47,1617.7,4400.0,684.47,0.0,0.0,0.0,2010-06-01,143.28,2010-07-01,2015-02-01,,1,Fully Paid,1.0,0.0,3,1.0,0,2010-06-01,0,1,MORTGAGE,30000.0,NJ,3.72,2004-07-01,0.0,0.0,4.0,0.0,5.0,0
33,88629,6000,6000,650,36,10.59,195.28,C,C2,not verified,2007-06-01,n,debt_consolidation,F,0,0,7029.53,761.36,6000.0,1029.53,0.0,0.0,0.0,2010-06-01,197.36,2010-07-01,2014-10-01,,1,Fully Paid,1.0,0.0,1,1.0,1,2010-06-01,0,1,RENT,20000.0,CT,12.9,1996-01-01,4.0,45.0,5.0,0.0,6.0,0
34,70699,5000,5000,225,36,7.43,155.38,A,A2,not verified,2007-08-01,n,house,F,0,0,5174.18,232.84,5000.0,174.18,0.0,0.0,0.0,2008-03-01,0.0,,2007-05-01,,0,Fully Paid,1.0,0.0,5,1.0,0,2010-08-01,0,1,RENT,200000.0,NY,0.28,1995-03-01,0.0,0.0,2.0,0.0,2.0,0
35,80039,2000,2000,1275,36,7.12,61.87,A,A1,not verified,2007-07-01,n,debt_consolidation,F,0,0,2226.9,1419.64,2000.0,226.9,0.0,0.0,0.0,2010-07-01,63.59,2010-07-01,2010-06-01,,1,Fully Paid,1.0,0.0,8,1.0,0,2010-07-01,0,1,MORTGAGE,150000.0,CT,5.6,1984-03-01,0.0,0.0,7.0,0.0,16.0,0
36,90090,10000,10000,350,36,14.7,345.18,E,E5,not verified,2007-07-01,n,other,F,0,0,12621.9,441.56,10000.0,2570.14,51.7701,0.0,0.0,2010-08-01,1605.65,2010-09-01,2010-08-01,,1,Fully Paid,1.0,0.0,2,1.0,0,2010-07-01,0,1,RENT,50000.0,GA,7.22,1999-09-01,0.0,1.0,14.0,0.0,20.0,1
37,89243,5000,5000,650,36,7.43,155.38,A,A2,not verified,2007-07-01,n,other,F,0,0,5174.16,672.64,5000.0,174.16,0.0,0.0,0.0,2008-01-01,0.0,,2007-06-01,,0,Fully Paid,1.0,0.0,1,1.0,1,2010-07-01,0,1,MORTGAGE,200000.0,MD,3.72,1988-11-01,0.0,0.0,17.0,0.0,26.0,0
38,90390,5000,5000,1325,36,8.07,156.84,A,A4,not verified,2007-07-01,n,debt_consolidation,F,0,0,5272.08,1397.09,5000.0,272.08,0.0,0.0,0.0,2008-04-01,0.0,,2007-06-01,,0,Fully Paid,1.0,0.0,1,1.0,1,2010-07-01,0,1,MORTGAGE,100000.0,MA,2.3,1998-10-01,0.0,0.0,11.0,0.0,20.0,0
39,90607,8500,8500,875,36,10.28,275.38,C,C1,not verified,2007-07-01,n,credit_card,F,0,0,9912.49,1019.75,8500.0,1412.49,0.0,0.0,0.0,2010-07-01,281.94,,2010-07-01,,0,Fully Paid,1.0,0.0,4,1.0,0,2010-07-01,0,1,RENT,18000.0,NC,6.4,1986-12-01,1.0,5.0,6.0,0.0,9.0,1
40,90962,5000,5000,4150,36,7.43,155.38,A,A2,not verified,2007-07-01,n,home_improvement,F,0,0,5174.17,4294.57,5000.0,174.17,0.0,0.0,0.0,2008-01-01,4397.47,,2007-06-01,,0,Fully Paid,1.0,0.0,9,1.0,0,2010-07-01,0,1,MORTGAGE,150000.0,GA,0.0,1987-12-01,0.0,0.0,2.0,0.0,19.0,0
42,91067,5350,5350,625,36,13.12,180.57,D,D5,not verified,2007-07-01,n,car,F,0,0,6486.31,757.6,5350.0,1121.32,14.9934,0.0,0.0,2010-02-01,1056.94,2010-02-01,2013-07-01,,1,Fully Paid,1.0,0.0,2,1.0,0,2010-07-01,0,1,OWN,4000.0,NJ,15.0,2006-12-01,1.0,0.0,1.0,0.0,1.0,0
43,91170,6000,6000,1200,36,13.12,202.51,D,D5,not verified,2007-07-01,n,credit_card,F,0,0,7289.84,1457.81,6000.0,1289.84,0.0,0.0,0.0,2010-07-01,204.65,2010-07-01,2012-09-01,,1,Fully Paid,1.0,0.0,3,1.0,0,2010-07-01,0,1,RENT,12000.0,NY,4.4,2004-12-01,9.0,0.0,15.0,0.0,16.0,0
44,92174,2500,2500,1075,36,8.07,78.42,A,A4,not verified,2007-07-01,n,home_improvement,F,0,0,2822.72,1213.73,2500.0,322.72,0.0,0.0,0.0,2010-07-01,80.9,,2010-06-01,,0,Fully Paid,1.0,0.0,5,1.0,0,2010-07-01,0,1,MORTGAGE,110000.0,CO,11.33,1990-11-01,0.0,0.0,13.0,0.0,40.0,0
45,92390,5000,5000,700,36,8.7,158.3,B,B1,not verified,2007-07-01,n,credit_card,F,0,0,5698.45,797.71,5000.0,698.45,0.0,0.0,0.0,2010-07-01,159.83,,2014-11-01,,0,Fully Paid,1.0,0.0,6,1.0,0,2010-07-01,0,1,MORTGAGE,75000.0,CO,15.55,1994-05-01,0.0,0.0,10.0,0.0,29.0,0
46,92423,5000,5000,3100,36,7.43,155.38,A,A2,not verified,2007-07-01,n,vacation,F,0,0,5593.44,3467.97,5000.0,593.44,0.0,0.0,0.0,2010-07-01,157.38,,2007-06-01,,0,Fully Paid,1.0,0.0,8,1.0,0,2010-07-01,0,1,MORTGAGE,95000.0,MA,3.83,2000-07-01,0.0,0.0,8.0,0.0,16.0,0
47,92502,5000,5000,250,36,7.43,155.38,A,A2,not verified,2007-07-01,n,credit_card,F,0,0,5593.54,279.63,5000.0,593.54,0.0,0.0,0.0,2010-07-01,156.29,,2007-06-01,,0,Fully Paid,1.0,0.0,2,1.0,0,2010-07-01,0,1,OWN,85000.0,WI,0.31,1997-10-01,0.0,0.0,7.0,0.0,19.0,0
