,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,is_inc_v,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,revol_bal,revol_util,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,policy_code,not_compliant,status,inactive_loans,bad_loans,emp_length_num,grade_num,sub_grade_num,delinq_2yrs_zero,pub_rec_zero,collections_12_mths_zero,short_emp,payment_inc_ratio,final_d,last_delinq_none,last_record_none,last_major_derog_none,emp_title,emp_length,home_ownership,annual_inc,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,total_acc,mths_since_last_major_derog
0,70686,70681,5000,5000,0, 36 months,7.75,156.11,A,A3,Not Verified,20070601T000000,Does not meet the credit policy.  Status:Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=70686,"I need to make several improvements around the house - fix garage, fix back fencing, and misc other.",other,Aroundthehouse,0,56.1769,f,0,0,5619.72,0.0,5000.0,619.72,0.0,0.0,0.0,20100601T000000,156.39,20100701T000000,20150201T000000,,1,1,Fully Paid,1,0,11,6,0.6,,,,0,2.67617,20100601T000000,1,1,1,Homemaker,10+ years,MORTGAGE,70000.0,068xx,CT,8.81,,,,,,,,,
1,71623,70735,6500,6500,0, 36 months,8.38,204.84,A,A5,Not Verified,20070601T000000,Does not meet the credit policy.  Status:Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=71623,"Hi,   I\'m buying  a used car. Anybody on facebook wants to finance me?   Thanks",other,Buying a car,0,56.1769,f,0,0,7373.83,0.0,6500.0,873.83,0.0,0.0,0.0,20100601T000000,205.32,20100701T000000,20070801T000000,,1,1,Fully Paid,1,0,1,6,1.0,,,,1,,20100601T000000,1,1,1,,< 1 year,OTHER,,100xx,NY,4.0,,,,,,,,,
2,71823,70473,4350,4350,825, 36 months,8.07,136.45,A,A4,Not Verified,20070801T000000,Does not meet the credit policy.  Status:Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=71823,"I owe $4,350 in medical bills not covered by my health insurance. I charged it to my credit card and would like to refinance it at a lower rate.",other,Paying medical bill,0,56.1769,f,0,0,4911.68,931.41,4350.0,561.68,0.0,0.0,0.0,20100801T000000,139.93,20100901T000000,,,1,1,Fully Paid,1,0,1,6,0.8,,,,1,1.3645,20100801T000000,1,1,1,,< 1 year,RENT,120000.0,024xx,MA,4.0,,,,,,,,,
3,72176,70868,2525,2525,225, 36 months,9.33,80.69,B,B3,Not Verified,20070601T000000,Does not meet the credit policy.  Status:Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=72176,"I need to pay $2,100 for fixing my Volvo :)  Any help appreciated!",other,Car repair bill,0,56.1769,f,0,0,2904.3,258.73,2525.0,379.3,0.0,0.0,0.0,20100601T000000,82.03,20100701T000000,20070501T000000,,1,1,Fully Paid,1,0,1,5,0.6,,,,1,0.8802549999999999,20100601T000000,1,1,1,,< 1 year,RENT,110000.0,100xx,NY,10.0,,,,,,,,,
4,72197,72194,3900,3900,2025, 36 months,9.33,124.62,B,B3,Not Verified,20070801T000000,Does not meet the credit policy.  Status:Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=72197,I will be moving to Florida next month. This loan will help me pay for moving expenses. Thank you for funding me!,other,Moving to Florida,0,56.1769,f,0,0,4485.99,2329.19,3900.0,585.99,0.0,0.0,0.0,20100801T000000,126.06,20100901T000000,20070501T000000,,1,1,Fully Paid,1,0,1,5,0.6,,,,1,1.52596,20100801T000000,1,1,1,,< 1 year,RENT,98000.0,100xx,NY,10.0,,,,,,,,,
5,72323,70694,5000,5000,350, 36 months,11.54,164.98,C,C5,Not Verified,20070701T000000,Does not meet the credit policy.  Status:Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=72323,"Thank you for viewing my loan request. I am asking for this loan to pay off 2 credit card balances. One has 700 on it and the other is about 1,600. I also would like to do some home improvements. I have owned my home for the last 1 1/2 years. I just found out that a need a new drainfield so that will be first on the list. I also want to paint the whole interior of the house in neutral colors. My last project is to replace the kitchen countertops with granite as the old ones are beginning to show wear.  I have been self-employed for the last 9 years in a service business. My business has continued to grow and has great clients. I have no late payments or deliquencies on my credit report. I have paid my bills on time and take pride in that.  Again thanks for viewing my loan request and know I will work hard to pay this loan back as I have with my other bills in the past.",other,Pay 2 credit cards and Home Improvement,2447,65.5,f,0,0,1501.19,104.6,966.58,352.34,0.0,182.27,1.84,20080301T000000,164.97,20081201T000000,20090101T000000,,1,1,Charged Off,1,1,10,4,1.0,1.0,1.0,,0,3.59956,20100701T000000,1,1,1,Outstanding Pool & Spa,9 years,MORTGAGE,55000.0,287xx,NC,10.0,0.0,19981001T000000,4.0,,,6.0,0.0,13.0,
6,72819,72816,7200,5075,350, 36 months,10.28,164.42,C,C1,Not Verified,20070701T000000,Does not meet the credit policy.  Status:Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=72819,"I am consolidating 2 loans that carry 14.5% and 16% interest rate respectively. The first loan has $4,000 outstanding and the second has $3,200 outstanding. My credit is pretty good now so I am hoping I can get a better rate.",other,Consolidate 2 high-interest rate loans,0,56.1769,f,0,0,5918.33,407.83,5075.0,843.33,0.0,0.0,0.0,20100701T000000,168.44,20100801T000000,20070501T000000,,1,1,Fully Paid,1,0,1,4,0.2,,,,1,2.07688,20100701T000000,1,1,1,,< 1 year,RENT,95000.0,100xx,NY,10.0,,,,,,,,,
7,72998,72992,1000,1000,0, 36 months,9.64,32.11,B,B4,Not Verified,20070601T000000,Does not meet the credit policy.  Status:Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=72998,I would like to buy some new furniture in my apartment and TV,other,delight,0,56.1769,f,0,0,1155.53,0.0,1000.0,155.53,0.0,0.0,0.0,20100601T000000,32.41,20100701T000000,20140901T000000,,1,1,Fully Paid,1,0,1,5,0.8,,,,1,3.2110000000000003,20100601T000000,1,1,1,Halping hands company inc.,< 1 year,RENT,12000.0,021xx,MA,10.0,,,,,,,,,
8,73003,70651,3200,3200,2000, 36 months,9.96,103.2,B,B5,Not Verified,20070701T000000,Does not meet the credit policy.  Status:Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=73003,"Hi, I am looking to renovate my bathroom as in the next year I want to sell my home. They say you can double your investment on a kitchen or bathroom when you sell the home, so I am hoping it gets me at least $5k on the sale price I have very good credit..thanks for looking Pistol",other,New Bathroom,0,56.1769,f,0,0,3590.53,2244.09,3200.0,390.53,0.0,0.0,0.0,20090201T000000,1733.32,20090301T000000,20090201T000000,,1,1,Fully Paid,1,0,1,5,1.0,,,,1,0.8256,20100701T000000,1,1,1,,< 1 year,MORTGAGE,150000.0,019xx,MA,10.0,,,,,,,,,
9,73582,73096,3500,3500,225, 36 months,10.28,113.39,C,C1,Not Verified,20070601T000000,Does not meet the credit policy.  Status:Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=73582,"I am getting married on July 28 and will need another $3,500 to pay the suppliers (catering, hotel, etc.). I would have never thought getting married was such an expensive proposition! Thanks for helping.",other,Wedding coming up,0,56.1769,f,0,0,3719.34,239.07,3500.0,219.34,0.0,0.0,0.0,20080301T000000,0.0,20080301T000000,20130201T000000,,1,1,Fully Paid,1,0,1,4,0.2,,,,1,0.755933,20100601T000000,1,1,1,,< 1 year,RENT,180000.0,100xx,NY,10.0,,,,,,,,,
